ID;Наименование;Ссылка на товар;Регулярная цена;Бренд
348948;Ручки шариковые BIC Cristal Original синие;https://online.metro-cc.ru/products/sharikovaya-sinyaya-cristal-bic-10-sht;389;BIC
130839;Ручки гелевые Berlingo Correct стираемые синие;https://online.metro-cc.ru/products/gel-stiraemaya-correct-sin2sht;349;BERLINGO
256455;Маркер перманентный BIC Marking Ultra Fine черный;https://online.metro-cc.ru/products/permanentniy-marker-bic-intensity-cherniy;169;BIC
338790;Маркеры-текстовыделители Kores 2шт;https://online.metro-cc.ru/products/nabor-kores-2sht;199;KORES
513203;aro Карандаши чернографитовые HB c ластиком;https://online.metro-cc.ru/products/chernografitovye-aro-hb-c-50sht;299;ARO
95869;Ручки шариковые BIC Round Stic Exact синие 0.7мм;https://online.metro-cc.ru/products/ruchki-sharikovye-bic-round-stic-exact-sinie-4sht;149;BIC
91527;Ластики Factis OV24;https://online.metro-cc.ru/products/factis-ov24-2-sht;99;FACTIS
659057;SIGMA Маркеры перманентные 4 цвета;https://online.metro-cc.ru/products/sigma-permanentnyj-4-sht;99;SIGMA
513209;aro Ручки шариковые черные;https://online.metro-cc.ru/products/aro-sharikovaya-chernaya-50sht;349;ARO
221712;Маркеры Berlingo Uniline для белых досок WB300;https://online.metro-cc.ru/products/markery-dbelyh-dosok-uniline-wb300-4-sht-berlingo;249;BERLINGO
131700;Маркер BIC Marking 2000 Ecolutions перманентный черный;https://online.metro-cc.ru/products/permanentnyj-bic-marking-2000;139;BIC
637790;Ручки шариковые Schneider 505 F синие;https://online.metro-cc.ru/products/sharikovaya-schneider-505-f-sinyaya-10-sht;399;SCHNEIDER
221674;Карандаши Berlingo Fuze черногрифельные Hb;https://online.metro-cc.ru/products/karandashi-chg-hb-fuze-5sht-berlingo;119;BERLINGO
131273;Ручки шариковые Erich Krause R-301 Spring Stick&Grip 0.7мм;https://online.metro-cc.ru/products/shar-erichkrause-reg-r-301-spring-stick-grip-07-4-sht;129;ERICH KRAUSE
313398;Карандаши корректирующие Kores 8мл;https://online.metro-cc.ru/products/korrektiruyuschij-karandash-kores-8ml-2sht;199;KORES
91562;Ластики Factis TRI24;https://online.metro-cc.ru/products/factis-tri24-2-sht;199;FACTIS
453112;Карандаши чернографитовые Erich Krause Vivo;https://online.metro-cc.ru/products/chernografitovyj-erich-krause-vivo-4sht;199;ERICH KRAUSE
93429;Точилка Bruno Visconti 1 отверстие с контейнером;https://online.metro-cc.ru/products/art_93429;199;BRUNO VISCONTI
93352;Ластик Bruno Visconti Happy Graphix Zefir в коробке;https://online.metro-cc.ru/products/bruno-visconti-happy-graphix-zefir-v-korobke-1-sht;99;BRUNO VISCONTI
